"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","12.84","489114030.12","38092993","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"DDD","3D Systems Corporation","47.95","4454919611.8","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"JOBS","51job, Inc.","62.13","693280152.33","11158541","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"AAN","Aaron&#39;s,  Inc.","29.69","2250692817.63","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ACCL","Accelrys, Inc.","8.89","496468353.01","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/accl",
"ACIW","ACI Worldwide, Inc.","47.64","1898429798.88","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACTS","Actions Semiconductor Co., Ltd.","2.9","122900117.9","42379351","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ATVI","Activision Blizzard, Inc","15.01","16774303153.49","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","35.36","2590364903.36","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"BIRT","Actuate Corporation","7.38","349259732.46","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/birt",
"ACXM","Acxiom Corporation","25.94","1919346202.52","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADEP","Adept Technology, Inc.","3.68","40064855.52","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADBE","Adobe Systems Incorporated","48.39","24304425758.7","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"AMD","Advanced Micro Devices, Inc.","4.32","3086577921.6","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"API","Advanced Photonix, Inc.","0.5278","16444953.3066","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ASX","Advanced Semiconductor Engineering, Inc.","4.19","6370577955.27","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","16.81","2921461708.42","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"ADVS","Advent Software, Inc.","26.84","1379371720.76","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/advs",
"AER","Aercap Holdings N.V.","17.69","2005400934.15","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ACY","AeroCentury Corp.","19.989","30848164.173","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"ARX","Aeroflex Holding Corp.","8.29","704124264.78","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
"AGYS","Agilysys, Inc.","11.59","259814942.35","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AL","Air Lease Corporation","28.44","2880536242.32","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","17.2","1177517142.8","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AMCN","AirMedia Group Inc","1.77","76614005.73","43284749","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","16.41","150254013.27","9156247","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AFOP","Alliance Fiber Optic Products, Inc.","30.71","265826742.72","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"ALLT","Allot Communications Ltd.","13.51","440619963.07","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","15.52","2751124864","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AOSL","Alpha and Omega Semiconductor Limited","7.79","198657347.15","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ALTR","Altera Corporation","35.05","11220920774.65","n/a","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"AMBA","Ambarella, Inc.","17.79","484927540.86","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"DOX","Amdocs Limited","38.41","6182934520","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMSWA","American Software, Inc.","8.94","243478781.22","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMKR","Amkor Technology, Inc.","4.51","690779516.9","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"ASYS","Amtech Systems, Inc.","7.21","68777877.14","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"ANAD","ANADIGICS, Inc.","2.21","181859885.61","n/a","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","48.35","14899797863.6","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ANLY","Analysts International Corporation","3.9352","20109371.7704","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/anly",
"ANEN","Anaren, Inc.","23.61","312219914.94","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/anen",
"ANSS","ANSYS, Inc.","78.86","7350306070.36","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"AOL","AOL Inc.","37.9","2935410144.5","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aol",
"ATNY","API Technologies Corp.","2.79","152923301.01","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"AAPL","Apple Inc.","426.51","400343184990","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","16.66","20018667262.16","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","9.46","664638665.02","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
"ARMH","ARM Holdings plc","41.12","4875261832.8","118561815","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ARRS","ARRIS Group, Inc.","15.5","2135770063.5","n/a","1993","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs",
"ARUN","Aruba Networks, Inc.","16.98","1938571485.36","n/a","2007","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/arun",
"ASTI","Ascent Solar Technologies, Inc.","1.03","53069470.74","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"ASIA","AsiaInfo-Linkage, Inc.","11.65","848055097.85","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/asia",
"ASMI","ASM International N.V.","35.52","164050363.2","4618535","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","87.15","6548670618","75142520","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZPN","Aspen Technology, Inc.","31.64","2964939059.88","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn",
"ATEA","Astea International, Inc.","2.0701","7426067.6599","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atea",
"ALOT","Astro-Med, Inc.","11.22","83584657.86","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot",
"ASUR","Asure Software Inc","5.7429","30222286.9092","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"ATML","Atmel Corporation","7.8","3343282839","n/a","1991","Technology","Semiconductors","http://www.nasdaq.com/symbol/atml",
"ATTU","Attunity Ltd.","5.77","63485267.42","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"AUO","AU Optronics Corp","3.55","3133601330","n/a","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"ADNC","Audience, Inc.","12.99","273456088.23","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adnc",
"ADAT","Authentidate Holding Corp.","0.9","27589756.5","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat",
"ABTL","Autobytel Inc.","5.04","44671536","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl",
"ADSK","Autodesk, Inc.","36.01","8095048000","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"ADP","Automatic Data Processing, Inc.","73.41","35620177631.97","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"AMAP","AutoNavi Holdings Limited","12.4","333067608.4","26860291","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amap",
"AVGO","Avago Technologies Limited","38.95","9617210091.8","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
